"Ticker","MXWO Index","M1EF Index","M1WD Index","USGG3M Index","IDCOT7TR Index","LDB1TRUU Index","LDA3TRUU Index","LBUTTRUU Index","XAU Curncy","FNRETR Index","SRVRSCTR Index","SPGSIN Index","SPGSEN Index","DXY Curncy","USDCAD Curncy","USDNOK Curncy","AUDUSD Curncy","USDJPY Curncy","USDCHF Curncy"
"Name","MSCI World Index","MSCI Emerging Markets Net Total Return USD Index","MSCI ACWI Net Total Return USD Index","US Generic Govt 3 Mth","ICE U.S. Treasury 7 - 10 Year TR Index","Bloomberg Barclays US Credit Baa Total Return Index Value Unhedged USD","Bloomberg Barclays US Credit Aaa Total Return Index Value Unhedged USD","Bloomberg Barclays US Treasury Inflation Notes TR Index Value Unhedged USD","XAUUSD Spot Exchange Rate - Price of 1 XAU in USD","FTSE Nareit Equity REITs Total Return Index USD","Benchmark Data & Infrastructure Real Estate SCTR Total Return Index","S&P GSCI Industrial Metals Spt Index","S&P GSCI Energy Spot CME Index","U.S. Dollar Index","USDCAD Spot Exchange Rate - Price of 1 USD in CAD","USDNOK Spot Exchange Rate - Price of 1 USD in NOK","AUDUSD Spot Exchange Rate - Price of 1 AUD in USD","USDJPY Spot Exchange Rate - Price of 1 USD in JPY","USDCHF Spot Exchange Rate - Price of 1 USD in CHF"
"date","DMEQ_idx","EMEQ_idx","ACEQ_idx","TBILL3M_yld","UST_idx","CRE_Baa_idx","CRE_Aaa_idx","TIPS_idx","GOLD_pr","NAREIT_idx","INFRA_idx","INM_idx","ENGY_idx","DXY_idx","USDCAD_rate","USDNOK_rate","AUDUSD_rate","USDJPY_rate","USDCHF_rate"
"12/31/1959 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",4.4,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.1,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"1/29/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",3.99,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"2/29/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",4.19,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"3/31/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",3.02,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"4/29/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",3.04,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"5/31/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",3.12,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"6/30/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.19,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"7/29/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.19,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"8/31/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.57,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"9/30/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.3,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"10/31/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.12,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"11/30/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.4,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"12/30/1960 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.2,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"1/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.28,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"2/28/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.58,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"3/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.42,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"4/28/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"5/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.34,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"6/30/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.27,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"7/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.26,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"8/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.35,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"9/29/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"10/31/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.28,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"11/30/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.55,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"12/29/1961 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.67,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.25,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"1/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.73,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"2/28/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.71,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"3/30/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.75,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"4/30/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.74,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"5/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.7,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"6/29/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.9,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"7/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.86,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"8/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.81,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"9/28/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.74,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"10/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.72,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"11/30/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.86,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"12/31/1962 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.92,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.23,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"1/31/1963 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.93,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.09,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"2/28/1963 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.9,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.09,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
"3/29/1963 12:00:00 AM","#N/A N/A","#N/A N/A","#N/A N/A",2.91,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A",35.09,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
