"Ticker","Name","Series Type","Currency","Country","Sector","Industry","Sic","Exchange","Cik","Fiscal_End","Units","Scale","Flow","Adjustment","Periodicity","Metadata","Corporate_History","Data Notes"
"_SPXD","S&P 500/Cowles Composite Price Index (w/GFD extension)","Stock Indices - Composites","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Monthly From Jan 1871 To Jan 1918<BR>Weekly From Jan 1918 To Dec 1927<BR>Daily From Jan 1928 To Apr 2020<BR>","For Data before 1871, please see the file GFUS100MPD<br />After the Dow Jones Averages, the second most historically extensive indices are the Standard and Poor's indices.  Whereas the Dow Jones averages were weighted by price, from the beginning, the S&P indices were weighted by capitalization.  The original indices were introduced by the Standard Statistics Corporation in 1923 covering 233 stocks in 26 sectors.  Data were calculated on a weekly basis back to 1918.  The daily indices were introduced in 1928 and consisted of a 90-stock average including 50 industrials, 20 rails and 20 utilities.  Data were calculated on a weekly basis back to 1926 and 1927.  <br />The Standard and Poor's Composite combines a number of different indices. From 1791 to 1801, GFD has calculated an equal-weighted index using data from 7 banks (Union National Bank of Boston, Massachusetts National Bank of Boston, the First Bank of the United States, Bank of the State of New York, Bank of Pennsylvania, Bank of South Carolina, and the Bank of America), 3 insurance companies (New York Insurance Company, Insurance Co. of Pennsylvania, Insurance Co. of North America) and two transport companies (Philadelphia and Lancaster Turnpike Company and Schuylkill Permanent Bridge Company).<br />Using Walter B. Smith and Arthur H. Cole, Fluctuations in American Business, 1790-1860, Cambridge: Harvard Univ. Press, 1935, the index combines the monthly price indexes of Bank stocks (1802-1815, Bank and Insurance Stocks (February 1815-December 1845), and Rails (1834-1862) from Smith and Cole, ibid.: and Railroads (1863-1870) from Frederick R. Macaulay, The Movements of Interest Rates, Bond Yields and Stock Prices in the United States Since 1856, New York: National Bureau of Economic Research, 1938.  This data is available in USMACRRM<br />GFD has used Smitha nd Cole's data on banks from 1802 to 1833.  Between 1834 and 1863, the file USCFALLM provides data from Smith and Cole. Beginning in 1871, the Cowles/Standard and Poor's Composite index of stocks is used.  The Standard and Poor's indices were first calculated in 1918, and the Cowles Commission back-calculated the series to 1871 using the Commercial and Financial Chronicle. For more information, see Standard and Poor's, Security Price Index Record, New York: Standard and Poor's, 2000 and Cowles Commission for Research in Economics, Common-Stock Indexes, 2nd ed., Bloomington: Principia Press, 1939.<br />High-low-close are available since January 1930 except for 1/2/41-7/30/46, 2/28/47-3/5/47, 10/24/47-10/28/47, 3/5/48-3/10/48, 5/6/49-5/11/49, 12/23/49-1/23/52, 6/27,30/1952, 9/5,8,9/1952.<br />The 90-stock Composite was calculated from 1926 through February 1957 when S&P introduced the S&P 500 stock average including 425 industrials, 25 rails and 50 utilities, weighting the index substantially in favor of the industrials.  S&P did not calculate the 500-stock index prior to March 1957, but used the old 90-share index (as well as the old 50 industrials, 20 rails and 20 utilities indices) to extend the data back to 1928.  The daily closes listed in the Security Price Index Record consist of the 90 stock averages adjusted to the new 1941/43 base from 1926 through February 1957, and the 500 stock averages starting in March 1957.  Similarly, the weekly/monthly data for these indices uses the 90 stock average, rather than the more extensive indices of industrials that included 400 stocks, and were calculated on a weekly rather than a daily basis.<br />The indices were revised again on July 1, 1976 when the rail index was dropped, and was replaced by the Transportation index, and a Financial Index was added.  Until that time, financial shares had been excluded from the S&P 500 because many were over-the-counter stocks making it difficult to calculate exact prices for the averages.  The components were changed from 425 industrials, 60 utilities and 15 rails to 400 industrials, 40 utilities, 20 transportation and 40 financial stocks in 1976.  On April 6, 1988, exact numerical allocations were abandoned allowing the sectoral composition of the S&P 500 index to change as new stocks were removed and added to the S&P 500. Data for the S&P 500 index is theoretical through 1983 and actual, real-time data from January 3, 1984 on. <br /><br /> Where possible, we have included high-low-close data for the indices, which meant readjusting the data for the period prior to March 1957 to the old indices.  High-low-close are currently available for 1930-1941, September 1946-December 1949, and beginning in January 1956.  Other dates have the close only. The primary sources for these data are Standard Statistics Corp., Base Book, New York: Standard Statistics Corp., 1931, Standard and Poor's Security Price Index Record, New York: Standard and Poor's (1940, 1941, 1948, 1955, 1957, 1962, and biannually since then), Standard and Poor's, Outlook, New York: Standard and Poor's (published weekly) and Standard and Poor's, Statistical Service, New York: S&P.  For a detailed history of the components of both the 90 and the 500 stock averages see the current and past issues of the biannual Security Price Index Record published by Standard and Poor's. <br />The original 500 share indices included 90-95% of the capitalization of the New York Stock Exchange providing the most comprehensive index of stocks then available; however, the rapid expansion in Nasdaq and growth in the NYSE has meant that the S&P indices now represent a smaller proportion of total market capitalization than in the past. The Wilshire 5000, Russell 3000 and Investor's Business Daily 6000 all cover substantially more shares than the S&P 500. Nevertheless, the S&P 500 still represents about 75% of the stock market's capitalization.  To update their index, S&P introduced a 400-share Mid-cap index (which was calculated back to 1981), in June 1991, and then introduced a Small Cap 600-share index in October 1994, which was calculated back to December 31, 1993.  The 1500-share Supercomposite was introduced in July of 1995 and calculated back to December 31, 1993.  In January 2002, S&P introduced the S&P 1000 which includes all the stocks in the S&P 400 Midcap and S&P 600 Small Cap Index. Beginning in March 2004, S&P began adjusting their indices so they would reflect the free float on their stock indices rather than the total capitalization.  The free float method reduces the influence of stocks such as Wal-Mart for which 40% of the stock is privately held and not publicly traded.<br />Volume data are for the stocks traded on the NYSE, not for the S&P 500 stocks.",,
"IDUSAD","USA Federal Reserve Bank Discount Rate","Central Bank Interest Rates","United States Dollar","United States",,,,,,,"Percent per Annum","Units","Stock","none","Daily From Nov 1914 To Jan 2003<BR>","Sources: Board of Governors of the Federal Reserve System, Federal Reserve Bulletin (1914-)  Notes: The Discount Rate for the Federal Reserve Bank of New York City is used. The index is weekly until 1953 and daily thereafter.  The Fed Funds Rate was a variable rate or range throughout the 1970s.  Only in 1990 did the Fed make the Fed Funds rate a reliable target rate whereby it could influence monetary policy. On January 9, 2003, the Fed revised the discount rate, introducing two rates.   Primary credit is available to generally sound depository institutions on a very short-term basis, typically overnight, at a rate above the Federal Open Market Committee's target rate for federal funds. Depository institutions are not required to seek alternative sources of funds before requesting occasional short-term advances of primary credit. The Federal Reserve expects that, given the above-market pricing of primary credit, institutions will use the discount window as a backup rather than a regular source of funding. Secondary credit is available to depository institutions not eligible for primary credit. It is extended on a very short-term basis, typically overnight, at a rate that is above the primary credit rate.   Secondary credit is available to meet backup liquidity needs when its use is consistent with a timely return to a reliance on market sources of funding or the orderly resolution of a troubled institution. Secondary credit may not be used to fund an expansion of the borrower's assets. The secondary credit program entails a higher level of Reserve Bank administration and oversight than the primary credit program; a Reserve Bank obtains sufficient information about a borrower's financial condition and reasons for borrowing to ensure that an extension of secondary credit is consistent with the purpose of the facility.   This rate is a business day series and should not be used to derive  frequency averages - a 7-day daily discount rate would be appropriate.  The discount rate refers to the simple interest rate at which depository  institutions borrow from the Federal Reserve Bank of New York.",,
"CPUSAM","United States BLS Consumer Price Index Inflation Rate NSA","Consumer Price Indices","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Annual From Dec 1789 To Dec 1874<BR>Monthly From Jan 1875 To Mar 2020<BR>","Sources: U.S. Government, Statistical Abstract of the United States (1820-1874), Carl Snyder, ""A New Index of the General Price Level from 1875,"" Journal of the American Statistical Association (June 1924); Bureau of Labor Statistics (1913-). See also David, Paul A. and Solar, Peter, ""A Bicentenary Contribution to the History of the Cost of Living in America,"" Research in Economic History (1977), pp. 1-80.<br />Notes: This index is based a combination of four indices. David and Solar are used from 1789 to 1820. From 1820 through 1874, the annual cost-of-living index calculated by the Federal Reserve Bank is used. From 1875 until 1912, it uses a monthly Index of General Prices calculated by the Federal Reserve Bank of New York, which was weighted between wholesale commodity prices (20%) Wage payments (35%), the Cost of Living (35%) and Rents (10%). From 1913 on, the Bureau of Labor's Consumer Price Index is used. For information on how the prices of individual goods have changed, see Scott Derks, ed., The Value of a Dollar, Lakeville, CT: Grey House Publishing, 1999.<br />The Consumer Price Index (CPI), 1982-84=100, is calculated on the basis of a market basket of 305 entry level items representing all goods and services purchased for everyday living by all residents in urban areas. These residents include about 87 percent of the total civilian noninstitutional population, including wage earners and clerical workers, professional, managerial, and technical workers, short-term workers, the self-employed, the unemployed, retirees, and others not in the labor force. <br />For most item categories, representing approximately 61 percent of the total expenditure weight, basic indexes are compiled using a geometric mean formula. For the remaining item categories, basis indexes are computed using a modified Laspeyres methodology<br />Each month 80,000 price quotations are obtained from approximately 23,000 outlets. About 50,000 housing units are contacted to collected data on rents. Prices are usually collected during the first 18 working days (Monday-Friday) of the month. Food, rent, utilities, and some other items are priced monthly in all urban areas. Most other items are priced monthly in three large urban areas, and every second month in other areas. Most pricing is conducted by personal interview; some pricing takes place by telephone. The prices include any applicable taxes, discounts and rebates. <br />The weights for the CPI are derived from the Consumer Expenditure Surveys for 1993-95, and the average for those 3 years. Historically weights have been revised once every 10 years; however, starting in 2002, weights will be revised every other year. Seasonally adjusted indices are also published.",,
"TRUSG10M","GFD Indices USA 10-year Government Bond Total Return Index","GFD Indices - Total Returns","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Monthly From Jul 1786 To Mar 2020<BR>","Sources: Sydney Homer, A History of Interest Rates, Princeton: Rutgers, 1963 from Joseph G. Martin, Martin's Boston Stock Market, Boston: 1886 (1800-1862), Hunt's Merchants Magazine (1843-1853), The Economist (1854-1861), The Financial Review (1862-1918), Federal Reserve Bank, National Monetary Statistics, New York: FRB, 1941, 1970 (annually thereafter); and Salomon Brothers, Analytical Record of Yields and Yield Spreads, New York: Saloman Brothers, 1995<br />Notes: Current yields on the 6s of 1790 are used from 1800 through 1822, on the 6s of 1814-1827 are used from 1823 until 1829, and the 5s of 1821-1835 are used from 1830 to 1834. The Federal government completely paid off its debt in the 1830s, so the Boston City 5s are used from 1835 through 1841. The 6s of 1842-1863 are used from 1841 through 1845, and the 6s of 1848-1868 from 1846 to 1862. Data are taken from Hunt's Merchant's Magazine and are periodic with the previous month's quotation used where none is available for 1843, 1844 and 1846 through June 1848. Data are monthly from July 1848 through 1853 using NYSE quotations. Data for 1854 through 1857 are taken from The Economist with NYSE quotations used for 1854 and 1855, and London quotations for 1856 and 1857. The United States yield data are monthly from February 1862 until December 1933, and weekly thereafter. The annual data are taken from Joseph G. Martin, Martin's Boston Stock Market, Boston: 1886. From February 1862 until December 1877, the 6% U.S. Government bonds of 1881 are used. From January 1878 until January 1895, the 4% U.S. Government Bonds of 1907 are used, and from February 1895 until September 1917, the 4% U.S. Government Bonds of 1925 are used. Where no trades were recorded during a given month, the previous month's yield was used. The source for this data is William B. Dana Co., The Financial Review, New York: William B. Dana Co. (1872-1921) which reprinted data published by The Commercial and Financial Chronicle. The 4% Liberty Bonds are used from October 1917 through December 1918, and beginning in 1919, the Federal Reserve Board's 10-15 year Treasury Bond index is used. 10 year bonds are used beginning in 1941.",,
"TRUSACOM","GFD Indices USA Total Return AAA Corporate Bond Index","GFD Indices - Total Returns","United States Dollar","United States",,,,,,,"Index Number","Units","Stock","none","Monthly From Dec 1814 To Mar 2020<BR>","Before 1857, data from individual corporate bonds is used. The Masonic Hall Association of Philadelphia 5% Loan is used from 1815 to 1827, the Chesapeake and Delaware Canal 6% Bonds is used from 1827 to 1831, the Schuylkill Navigation Co. 6% Bonds of 1840 is used from 1831 to 1837, the Baltimore and Ohio Railroad 6% Bonds is used from 1837 to 1842, New York, Lake Erie and Western Railroad Co. 7% 5th Mortgage Bonds of 1858 is used in 1842 and 1843, the Philadelphia Gas Works 6% Bonds of 1861 is used from 1843 to 1850 and the Baltimore and Ohio Railroad 6% Bonds of 1867 is used from 1850 to 1858.<br />The index uses the yield from Macaulay's High Grade Rails index from 1857 to 1918 and the yields from Moody's AAA Corporate Bond Index from 1919 on to calculate the total returns for the Index.  The corporate bonds in the index are long-term with a maturity of over 20 years.",,
"__WTC_D","West Texas Intermediate Oil Price (US$/Barrel)","Commodity Prices","United States Dollar","United States",,,,,,,"National Currency","Units","Stock","none","Monthly From Sep 1859 To Dec 1874<BR>Daily From Jan 1875 To Dec 1895<BR>Monthly From Jan 1896 To Dec 1899<BR>Daily From Jan 1900 To Dec 1919<BR>Monthly From Jan 1920 To Dec 1976<BR>Daily From Jan 1977 To Apr 2020<BR>","Data from 1860 through 1897 are from The Derrick's Hand-Book of Petroleum, Oil City, PA: Derrick Publishing Co., 1898, Vol. 1.  Daily data for oil prices was published in the same book in Vol. 1 (1897), 3 (1915), and 4(1919).  Prices are for quotations in Oil City, PA. through 1919. Prices from 1920 to June 1941 are the price per barrel for oil in Pennsylvania based upon data from the National Bureau of Economic Research. From 1941 through 1968, the cost of a barrel of oil (equal to 42 US gallons) as collected by Platt's is used.  From 1969 through December 1982, data from the Bureau of Labor Statistics is used, with the exception of the period from October 1973 through December 1982 when the US price of oil was fixed.  During this period the landed costs of imports from the US Department of Energy is used. From January 1983 to present the price for West Texas Intermediate Crude Oil is used at 40 degree API, f.o.b. Cushing, Oklahoma. The Light Crude Oil contract trades in units of 1,000 barrels, and the delivery point is Cushing, Oklahoma, which is also accessible to the international spot markets via pipelines. The contract provides for delivery of several grades of domestic and internationally traded foreign crudes, and serves the diverse needs of the physical market.",,
"__XAU_D","Gold Bullion Price-New York (US$/Ounce)","Commodity Prices","United States Dollar","United States",,,,,,,"National Currency","Units","Stock","none","Annual From Dec 1257 To Aug 1723<BR>Monthly From Sep 1723 To Dec 1861<BR>Daily From Jan 1862 To Dec 1878<BR>Monthly From Jan 1879 To Sep 1933<BR>Daily From Sep 1933 To Jan 1934<BR>Monthly From Feb 1934 To Mar 1968<BR>Daily From Apr 1968 To Apr 2020<BR>","Data from 1257 to 1792 are based upon data for the price of gold in London.  Data are annual to 1723 and monthly thereafter. The data use the exchange rate ratio between the US Dollar gold price and London gold price in 1792 to create an index of gold in US Dollars going back to 1257. The data are based upon the series calculated by Lawrence H. Officer, What Was the Price of Gold Then? Importance, Measurement and History, EH.net. Gold prices for 1785 to 1933 are the official price of gold as set by the U.S. Government, with the exception of the period from 1861 to 1878 when the gold exchange price as quoted in the Commercial and Financial Chronicle, and reprinted in William B. Dana & Co., The Financial Review, New York, 1878, pp. 26-31. Historical prices for the United States are taken from the Commodity Research Bureau, Commodity Yearbook, Chicago: CRB since 1933. From January 30, 1934 until March 1968, the gold transactions of the U.S. Government for both monetary and industrial purposes were made at $35 per fine ounce, plus or minus a handling charge of one quarter of one percent and less mint charges. In 1968 a two-tiered gold system was instituted under which the private commodity price of gold was permitted to fluctuate without official intervention, while the official price and role of monetary gold remained unchanged among monetary authorities.  This system was terminated on November 10, 1973 because of the wide variations between official prices and market prices. From 1973 on, separate series are provided for the daily PM Fixing price for gold in London and the daily price of gold in New York.",,
"USDBEF","Belgium Franc per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jan 1830 To Jan 1867<BR>Weekly From Jan 1867 To Dec 1870<BR>Monthly From Jan 1871 To Jan 1880<BR>Weekly From Jan 1880 To Dec 1913<BR>Daily From Dec 1913 To Oct 1914<BR>Weekly From Oct 1914 To Mar 1915<BR>Monthly From Mar 1915 To Dec 1918<BR>Daily From Jan 1919 To Apr 2020<BR>","Sources: Koeniglich Preussischen Statistischen Landesamt, Statistisches Jahrbuch fur den Preussischen Staat, Berlin: KPSL, (1882-1911), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 (1816-1881); League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Banque Nacional de Belgique web site <br />Notes: The cross exchange rate between the Franc in Brussels and the French Franc in Paris is used between 1830 and 1864. Belgium became independent on June 5, 1832 and introduced the Belgian Franc = 1 French Franc = 4.50 milligrams fine silver. Before 1830, the Dutch Guilder had been used in Belgium. A currency union existed between Belgium, France, Italy and Switzerland from 1865 through 1881.  In August 1914, marks were issued at the rate of 1 mark = 1.25 Belgian Francs. In November 1926, the Belga replaced the Franc at 1 Belga = 5 Belgian Francs = 209.211 milligrams of fine gold. The Belga was devalued by 28% to 1 Belga = 150.632 milligrams of fine gold on March 31, 1935.  Under German occupation, 1 Belga = 0.5 Reichsmark beginning in May 1940 and 1 Belga = 0.4 Reichsmark from July 1940 to December 1945 when the Belga was abolished.  The exchange rate for the Belgian Congo is used from January through September 1944 because this was more representative of the free market rate. The allies` official exchange rate of 1 U.S. Dollar = 43.77 Belgian Francs is used for October 5, 1944, which fell to 43.8275 in 1946 and 50 on September 21, 1949. ISO Codes were also provided for the Convertible Franc (BEC/993) and Financial Franc (BEL/992). The irrevocable conversion rate between the Belgium Franc and Euro was set at 40.3399.",,
"USDCAD","Canada Dollar per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jul 1757 To Feb 1920<BR>Daily From Mar 1920 To Apr 2020<BR>","Sources: A History of the Canadian Dollar, Bank of Canada; A. B. McCulloch, Money and Exchange in Canada to 1900 (Toronto: Dundurn Press, 1984), Franz Pick, Pick's Currency Yearbook, New York: Pick's World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991; League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bank of Canada web site  Notes: The Resolution of the Council of Quebec gave French coins a value in Livre 20% greater than in France. This premium was raised to 33% ion October 7, 1661 and 50% on March 20, 1662. Because of the scarcity of coins, playing cards were used for currency between 1685 and 1766 when the British monetary system was introduced. Canada introduced decimal currency in 1853 and adopted the gold standard.  The Canadian dollar was introduced in 1858. On May 4, 1910, the Canadian dollar was established at par with the U.S. Dollar.  Canada suspended the gold standard on April 10, 1933 and the Bank of Canada was established as the sole monetary authority on March 11, 1935. The Canadian dollar was devalued to 1 U.S. Dollar = 1.11 Canadian dollars on September 16, 1939, revalued to 1 U.S. Dollar on July 5, 1946, and devalued to 1.10 Canadian Dollars on September 20, 1949.  A free foreign exchange market was opened on October 1, 1950 when the Canadian dollar began to float against the U.S. Dollar. HLC data are available beginning on that date.",,
"USDFRF","France Franc per US Dollar","Exchange Rates - Market","United States Dollar","United States",,,,,,,"Currency Units","Units","Stock","none","Monthly From Jan 1800 To Jan 1855<BR>Weekly From Jan 1855 To Dec 1858<BR>Monthly From Jan 1859 To Jan 1867<BR>Weekly From Jan 1867 To Sep 1870<BR>Monthly From Oct 1870 To Jan 1880<BR>Weekly From Jan 1880 To Jan 1914<BR>Daily From Jan 1914 To Apr 2020<BR>","Sources: Journal de Paris, Journal du Commerce, Journal General de France and Gazette Nationale de France in Schneider (1800-1912), Commercial and Financial Chronicle (1914-1918), Paris Bourse, La Cote Officiele (1919-1927), ); Koeniglich Preussischen Statistischen Landesamt, Statistisches Jahrbuch fur den Preussischen Staat, Berlin: KPSL, (1882-1911), Franz Pick, Pick`s Currency Yearbook, New York: Pick`s World Currency Report (1951-1995) and Franz Pick and Rene Sedillot, All the Monies of the World, New York: Pick Publishing Corp., 1971; Jurgen Schneider, Oskar Schwarzer and Friedrich Zellfelder, Wahrungen der Welt, Vol. 1-10, Stuttgart: Franz Steiner Verlag, 1991 (1816-1881); League of Nations, Monthly Statistical Bulletin, Geneva: League of Nations (1920-1946); Schweizerisches Nationalbank, Monatsbericht, Zurich; The Economist; Commercial and Financial Chronicle; Uffici di Cambi, Italy; Financial Times; Bank of France web site <br />Notes: The Livre tournois is used through 1794, Assignats in 1795 and 1796, and French francs beginning in October 1796. The Franc replaced the Livre Tournois on August 15, 1795 (Thermidor 28, III) at a rate of 1 French Franc = 4.50 grams fine silver = 1 Livre 3 Deniers. On April 7, 1803 a bimetallic monetary system was introduced with parities of 5.182 French Francs per U.S. Dollar and 25.221 French Francs per Pound Sterling.   On December 23, 1865, the Union Latine was established composed of France, Belgium, Italy and Switzerland providing for a common currency. On June 25, 1928, the Franc devalued and was set at 1 Franc Poincare = 58.95 milligrams of fine gold, falling to 44.1 milligrams on October 1, 1936, 38.7 milligrams on July 21, 1937, 24.75 milligrams on November 12, 1938, 21 milligrams on February 29, 1940, 7.45 milligrams on December 26, 1945, 2.115 milligrams on July 24, 1958 and 1.8 milligrams on December 27, 1958.   <br />With German occupation, the exchange rate was established at 1 Reichsmark = 20 French Francs. Exchange rates were frozen on September 9, 1939 at 1 U.S. Dollar = 43.80 French Francs. France went off the gold standard in October 1936. The British and French signed the Anglo-French Financial Agreement on December 4th 1939, which provided for the maintenance of the official rate of exchange of 176.5 francs to the pound for the duration of the war and six months after the conclusion of the peace treaty.  Similar agreements were concluded in June 1940 with Belgium (1 pound = 176.5 Belgian francs), and the Netherlands (1 pound = 7.60 Gulden). Swiss cross exchange rates are used for July 1940 to December 1945. Multiple exchange rates and taxes persisted throughout the 1940s and 1950s. In January 1960, a new franc was introduced worth 100 old francs.<br />On January 1, 1999, the Euro replaced French Franc with the official conversion rate set at 1 Euro = 6.55957 French Francs.",,
